Restaurant_ID MuIXnv7Oq7X3-4aEsp9dDA
service 6.1356517139820665 69
restaurant 4.607622955595671 147
bbq 3.633634464275972 48
friend 4.023588802894313 48
order 4.1615806031254285 72
phoenix 4.730756693559747 53
buffalo 2.4442421167512354 73
peanut 2.9322830365492942 85
salad 3.9815476576106885 73
atmosphere 6.659877536267436 67
spicy 4.0142528591398055 80
staff 6.099548056216703 80
food 5.24929969378139 426
burger 2.7967534548251627 90
vegan 3.5108601352138717 419
everything 6.389383898509145 83
tofu 4.3497507866345035 80
soy 4.967593273077316 77
tsoynami 6.377914185727102 63
people 4.756166497204004 69
puffs 3.2754439387166974 54
vegetarian 5.477038319268853 55
sauce 4.488242805184678 119
way 3.33917505542803 56
sandwich 3.137527626657603 96
wings 4.223177716192518 115
things 3.877701381862157 57
time 2.6734949551518556 170
crab 3.853258912558473 55
place 6.917565589907361 308
dishes 4.730253610477727 69
meal 4.358052124755027 71
meat 1.557668463329035 199
menu 3.548937531683572 164
bowl 1.2089616139754964 96
fries 5.328994731236424 139
chicken 0.5029253915454226 292
green 3.937247345951867 5
cheese 2.1053440557772016 67
End -----------------------------------------------------------------------------
Restaurant_ID YKOvlBNkF4KpUP9q7x862w
ambiance 7.676829868326567 73
guac 7.046839466988474 79
patio 4.694148631338088 93
steak tacos 5.577724346000442 42
place 7.086543803739339 272
food 5.777172207777344 443
atmosphere 7.1438204522189555 95
lunch 5.101837802493061 59
side 3.443657268394102 147
meal 6.946759956391033 100
bit 1.5686197658003718 98
experience 5.616571762965017 94
everything 8.648960966643507 69
way 5.127723921938719 70
bar 6.233571967059727 88
people 5.0544842214342385 60
margaritas 6.522442296683116 71
dessert 8.117656963269422 62
table 5.865907441974862 182
server 6.6235583178918365 86
menu 3.709189991321446 179
mission 5.158469670263823 284
scottsdale 2.903644178623117 115
pumpkin pudding 4.755563111564472 2
chips 4.783176316352348 66
thing 3.680550433261151 54
dish 4.068187993228561 79
guacamole 6.1240427840497365 203
area 3.4885919359089446 59
mahi 3.592587257479564 29
town 3.9441436102186964 82
tacos 5.148666739050569 253
restaurant 5.955099161935168 192
decor 5.573023013859468 65
dishes 5.294969066904079 69
sauce 5.387716159144413 61
corn 6.494213891357719 111
staff 5.017421466833676 61
duck 5.290675247152636 55
stars 5.837583588348635 38
drinks 6.461063195220287 125
salsa 6.976861553870107 56
margarita 6.320455887313 71
time 4.007327166535045 191
something 3.805427417682425 54
night 5.1124579790058355 87
drink 5.03424902011534 67
dining 4.264584055397594 69
bread pudding 4.907973154034587 66
pumpkin bread 6.94508639260147 47
friends 4.9835204106415505 49
flavor 5.7574906134579695 75
dinner 3.9986466648316368 120
service 7.074849562369114 239
street 4.425613616694114 62
chicken 3.7723960755653003 58
End -----------------------------------------------------------------------------
Restaurant_ID vARjqeIkSNsazHltujiq4Q
mesa 3.683425894442556 50
chips 3.606566607671675 52
beer 5.777968528451845 105
soup 5.183155396854265 43
bit 2.008481707624369 56
menu 4.039149365965092 103
bar 4.5007858766807605 73
time 2.9138929862472733 199
atmosphere 7.3463545695350625 107
pasties 4.3218569673017715 158
place 5.917324327910679 290
server 4.817652173264941 42
times 2.8078200727029055 49
table 3.971696076961417 41
service 4.975273972787572 160
food 5.919254442826556 344
meat 3.1661667557196305 56
tempe 2.7391594884581987 64
sauce 4.436581472666134 80
pie 3.4497828996723925 80
something 4.40229954538013 60
dessert 5.313586262041473 59
cornish pasty 1.0578652591921398 127
staff 4.930539654807992 82
lunch 4.5858891948657305 39
friend 5.074224294727525 44
way 3.869996356296697 43
beers 6.583606262576362 47
location 4.606426007278283 107
thing 3.6724776615848636 56
order 3.47250796645341 62
steak 2.594343898322135 39
fries 4.116390461688572 46
wine 2.146716633685852 51
friends 3.289414031508557 44
side 2.804230330280631 79
potatoes 2.544827630556177 47
music 4.364881469607754 57
people 5.26658319075864 60
chicken 2.476676679842827 129
lamb 3.672610727013989 40
cheese 3.8144078384753706 69
night 4.257076412239057 45
pasty 5.284559786429899 28
selection 7.65605521248184 71
everything 7.130079564314555 47
restaurant 3.5296618326200098 75
tables 2.6286737460657905 52
End -----------------------------------------------------------------------------
Restaurant_ID L9UYbtAUOcfTgZFimehlXw
meal 4.411283781335269 56
chicken 4.003489944846429 51
food 6.443194104873809 330
times 3.784714825177253 74
service 7.042249783664271 114
cheese 3.68648176033419 70
menu 4.948310947017599 107
sandwiches 5.374952164552399 42
order 2.9661593699478983 107
lunch 6.800843763376411 94
side 3.9391475513542833 66
espresso 4.484053910959529 51
things 5.536258344933116 48
atmosphere 7.734085511392449 67
pudding 3.005048733259094 45
experience 5.591137123073723 47
day 5.564157288799896 46
friends 3.7570118941436004 46
cream 5.602256867514414 49
bathrooms 6.231803634047769 42
time 3.0243644576302326 179
thing 3.725240686158342 51
coffee 5.3578163920793775 129
bread 4.3315023504584875 76
dessert 7.23438739657713 38
dinner 3.9065026893320676 83
place 7.183923740250453 306
salad 4.177433959901858 126
potato 6.209269353213349 56
people 6.0298232973343495 72
burger 4.9090758292719805 64
something 4.372328041988597 53
breakfast 5.518592989942405 176
velvet 2.711627410709358 52
eggs 3.962390576835777 36
everything 8.166219602805798 57
bar 5.0792874953449605 72
table 5.150005667006688 60
line 2.7508515743919553 93
staff 7.091429057172003 96
area 4.587652357396725 55
joe 4.798220995823854 100
cake 2.3844478238901883 65
pizza 5.671623702905579 157
way 5.061909535995791 73
sandwich 5.8920294854879485 119
bit 1.5430501301520239 63
liberty market 6.920834926785286 222
restaurant 5.842036236459904 84
gilbert 4.417836540341858 118
liberty 3.9640053752289237 284
End -----------------------------------------------------------------------------
Restaurant_ID Gq092IH6eZqhAXwtXcwc6A
way 3.9816119125877716 38
brewing 7.184429584293577 30
chicken 3.417873850460759 45
san tan 6.123871460380341 72
menu 5.219464801115201 79
night 3.96582160437992 74
brewery 5.123233173298102 83
day 5.425443780595093 32
pork 5.486997802243615 29
staff 7.138728323699426 44
chandler 5.995027630950787 88
beers 6.9365344885545746 112
ipa 5.085760701197629 33
service 5.822100119657973 119
time 3.5252525760094136 87
ale 5.460001727087754 50
beer 5.83968273590719 397
brew 5.596558200284192 43
burgers 9.221306056141147 40
pizza 5.676652592100853 45
atmosphere 7.701407245725068 62
peaks 5.969109965017577 52
burger 5.25680985303563 76
times 4.1630982953828175 41
fries 5.941549644906132 35
friends 4.3571919420270335 37
bit 1.118100419358494 38
patio 5.999233743198385 39
santan 6.105678915461791 77
bar 4.495763855603762 83
cheese 4.612768035923424 67
food 6.686082099385545 284
place 6.299103589857466 208
flavor 5.756289821833752 34
people 5.147889333130102 29
End -----------------------------------------------------------------------------
Restaurant_ID 7SO_rX1F6rQEl-5s3wZxgQ
service 5.212242551712035 79
phoenix 8.31002468843783 46
table 4.361559224417664 54
night 3.7254600355386387 51
menu 4.960794617374016 44
spot 6.1517428409207895 47
times 2.121359997649242 36
dinner 3.004485031006622 38
lunch 3.967745891792368 29
friend 7.40359818414502 34
wait 4.749746287459237 58
pizzas 6.7321088058298395 59
way 4.26244833949296 51
sandwich 5.062035323851034 44
pizza 5.882457554242826 460
food 5.989955043246155 144
grocery 3.457123083950692 66
bit 1.229843855566398 40
order 2.726642487438135 60
salad 5.580456817343227 82
side 2.899771902980845 32
crust 4.632612674650302 91
flavor 6.20959896482678 32
wings 5.153533903392228 57
breakfast 7.0150055810288485 43
friends 5.357817909671022 33
cheese 5.200349161287292 90
lgo 6.169812560212915 157
burger 3.9955430995893417 33
place 6.330983594131626 231
wine 4.556833080766739 54
sausage 4.400754521461764 28
restaurant 5.687425083888872 55
parking 0.8070412968739487 92
time 3.7976403940361783 117
gelato 5.942308229315016 46
atmosphere 7.376837905569632 37
door 2.692054731109633 43
avocado 4.6765373636028436 47
sangria 6.525589683529162 36
people 4.2231553893233595 50
pizzeria 4.203381571883288 58
coffee 5.672801426286636 30
grande orange 5.2404423398195235 41
corn 3.8470853094410327 58
End -----------------------------------------------------------------------------
Restaurant_ID uEJQSIjWui-TDWXaGlcqyQ
breast 1.3502773129350745 51
cheese 4.184848620883772 131
eggs 1.7322224433312392 31
mac 3.381919001414446 99
table 4.727470322268802 43
cornbread 4.114419887799273 41
breakfast 4.448454874522375 31
meal 5.501284624966023 83
location 5.17683948025351 91
chicken 2.9211625186696146 666
everything 8.04431441333964 47
time 3.008537761682952 143
syrup 4.006582999597583 68
day 5.590363339314943 45
roscoe 5.855502123778221 38
fries 1.4276504436071145 40
lo 3.8313498809928586 114
grits 2.551051484949423 72
service 5.596407909545031 179
place 7.1024786512560265 203
velvet 3.1881478252876256 45
lolo 3.6560944293597246 127
experience 6.120231255389365 40
phoenix 5.295826935701923 47
order 2.4573872226436073 86
stars 3.7323250989262267 30
way 5.009041307469446 47
times 2.4464217938546406 50
waffle 4.077247915908108 184
flavor 4.834437447199213 60
side 2.7635274234837492 72
drinks 5.307156437062229 46
staff 5.778325973934853 70
butter 3.599621842080677 49
scottsdale 3.524832318184916 72
soul food 3.7459245740685483 38
food 5.629060336220032 339
menu 3.77609795154848 74
minutes 3.213783564748374 40
bit 1.8676138719996858 52
kool 3.2876436157105053 95
thing 4.9004760365378 58
tea 6.280548313910761 53
waffles 4.906201911652608 343
restaurant 5.741131134534735 58
jar 4.186855973263153 34
home 3.1417734532785113 44
people 3.6417446184046485 70
cake 1.759342081475296 50
gravy 3.7400696502107595 50
wait 3.496337876170231 78
aid 5.453181545556523 93
End -----------------------------------------------------------------------------
Restaurant_ID OFBJtqWGSx6n6CchtVmoRw
selection 7.4767193968146035 95
food 5.245020872488519 204
menu 4.366112007949091 70
aioli 4.706212928331261 56
turkey 5.486101506638741 50
side 2.9259779882225367 49
people 4.059360659784009 71
burger 4.860513377458594 655
area 4.452801194045668 50
chicken 2.259976111387197 65
time 3.4810201369434397 142
way 4.055537780646741 55
potato 7.01428102040139 285
night 3.349019601921501 116
restaurant 5.1655587712841555 73
beers 5.394644385733852 68
order 4.137216958366229 95
basket 4.426437592027527 55
fries 4.778310560015558 535
bit 1.2587786131365402 54
phoenix 7.808048408830455 60
thing 3.51684003196079 67
bar 4.573573977355595 69
atmosphere 6.2672447717463475 69
delux 5.264932838009725 408
medium 5.8074854861662075 57
lunch 5.869602176130568 38
salad 4.121061687943702 75
service 5.372510208260863 157
beef 5.257830640778619 52
beer 5.086420615917384 156
place 5.810034642419772 291
sushi 4.8316863032946 42
cheese 4.336198608037527 69
times 2.9351181705822977 56
panini 5.998398126109788 50
burgers 6.301038655099191 226
table 1.9151150525301943 87
sauce 6.557556730967132 74
End -----------------------------------------------------------------------------
Restaurant_ID IVc23uY-36WUNYoIbz42Fg
phoenix 6.044891535099673 47
service 5.247900796504208 183
menu 5.133740175957309 137
atmosphere 7.106880115785856 73
bit 0.6600777754904141 42
dinner 3.5269595599604275 54
hummus 6.046300703968165 45
drink 4.398159225630355 81
chicken 4.244046977313411 82
way 3.3644220372799083 48
cheese 4.450507563333619 112
sandwich 4.888754828665021 87
thing 4.308805089151907 42
staff 5.204922379998886 60
side 3.2982799735179857 48
breakfast 3.866569601013669 39
sandwiches 3.9821111488911582 40
drinks 5.731102890912475 111
food 6.106944047253579 302
time 3.433696365874846 149
friends 3.8023653906006882 60
people 3.7617420478503254 54
salad 5.261600913306684 99
meal 6.194325765826142 69
wine 4.159397121824868 52
hour 7.438029845538816 93
plate 3.552737274940607 39
table 3.779148419022464 46
times 2.914667472640952 57
patio 5.058964096955034 67
night 4.108827955879675 67
lobster 5.492503059883771 45
order 3.0537755342243638 52
lunch 5.998162270688625 100
day 4.337791378593826 50
mac 5.8913733398671875 49
place 6.748227458503118 227
server 5.73419219968013 75
specials 7.40009956152925 51
things 5.311742798992036 39
burger 5.53149326525729 57
sauce 4.2086429947701625 38
something 6.1201551911708805 49
friend 5.568321554490405 31
everything 5.584107824247235 40
experience 5.201153129640331 47
brunch 6.422882992027144 68
restaurant 4.934761958733395 82
sangria 5.3724712606801095 54
End -----------------------------------------------------------------------------
Restaurant_ID 1NZLxU5WvB5roPFzneAlLw
cream 5.937741300429727 39
people 2.483278680027297 69
art 6.190584761036197 43
lot 4.0462950235643 47
enchiladas 4.317767796226507 68
fries 2.107372849297365 33
stars 3.0817426692936993 46
experience 4.892015425687449 68
sauce 4.863501407647388 99
chips 3.2537329178954106 53
hour 4.925897141130053 57
side 3.03007452314751 94
tacos 3.8995361150240426 136
cheese 3.0268228254039604 59
barrio 3.920718268391456 219
margarita 7.12604419268819 78
parking 0.7552193131587888 50
guac 8.408767489012302 57
thing 3.781812870831873 41
brunch 6.37691200540133 31
chicken 3.0928118595344123 87
something 5.257728056275971 51
way 3.673982409030013 60
meal 5.630049954866584 91
place 5.077646360014937 287
drinks 7.1262763294142335 56
table 5.296950516390196 129
churros 7.155876266156218 36
wait 3.8839649663005438 94
area 1.3188419876621162 45
server 4.990220969479723 55
dessert 8.017271009160279 41
menu 3.8926008011381965 118
minutes 3.626989224291729 33
dish 3.7960212215907534 105
pork 3.114837486235997 106
music 2.4463266854095993 52
food 4.247072627776471 440
cafe barrio 0.0 2
order 2.6475085859648924 57
waiter 4.6776282767442225 50
flavor 4.939825281429206 60
margaritas 4.621097036545298 54
friend 5.214641179720361 47
mole 4.688485113591571 63
lunch 3.934000061167691 36
bit 1.639601424787556 67
shrimp 3.585922983661849 44
night 2.506738562609038 73
time 3.2500923347771598 155
dishes 4.543842425739867 53
guacamole 6.149305085064674 174
bread 4.016499634045841 59
fish 6.966083207157675 39
friends 4.228598160334064 34
price 2.2052892062412615 45
restaurant 4.301847734344445 184
everything 6.382762810729882 43
dinner 3.43661598196997 79
prices 3.6815324269944205 46
phoenix 4.781889505962952 114
tequila 4.5681670066870685 64
service 4.01164367713893 138
things 5.47109998317071 44
bar 3.3935559431056914 31
End -----------------------------------------------------------------------------
Restaurant_ID Zx8_4zKdDBSO3qGrkukBIA
items 3.6358779345138204 59
rice 2.166305072237005 313
lunch 4.714392049608758 47
something 4.004761472989969 50
food 4.2659160281671635 515
sample 6.672829701917488 53
snickerdoodle 7.334479000918988 70
years 3.8549600101226544 36
meal 7.194773566755886 91
time 3.087065462022962 180
jerk chicken 3.8304325147435754 102
everything 5.671194874867096 60
restaurant 4.418570695049783 80
area 2.8968251892427395 52
way 4.398504635224812 67
order 3.219546884648806 139
place 5.444289711174558 360
chicken 1.3811969133223516 461
staff 5.4740028909322715 81
menu 4.382339719913188 112
service 6.882228675106493 82
combo 3.792899155223173 79
flavor 3.8722291845447225 50
jerk 2.1070351242598755 209
diablo 3.4813907112445017 60
quesadilla 3.8622317685255583 131
burrito 1.6397265060903017 89
samples 6.427534366289698 94
cookies 6.756043703617392 61
chino bandido 4.228448943149654 92
guy 4.406575505641451 34
fusion 3.01150735999427 100
thing 3.9127119055714763 57
carnitas 3.627399563130766 59
beans 2.5690891596552685 257
pork 2.0270342735097198 100
sauce 3.327660612017673 51
cookie 6.139805027149609 97
people 4.756998753258527 60
panda 3.534296075721895 45
chino 5.240787057338192 204
phoenix 3.7726024425373925 61
End -----------------------------------------------------------------------------
Restaurant_ID -sC66z4SO3tR7nFCjfQwuQ
restaurant 4.326883847715298 196
staff 4.2217881910123936 86
order 3.728901028322996 130
friend 4.992700355672134 56
torta 7.487158074948486 107
stars 4.148355038868471 45
margarita 4.636219058184377 57
drink 5.1198059185138405 70
gallo 6.676005831692674 296
chilaquiles 5.938958414505883 47
times 2.391167944551146 74
bar 4.610336546980075 86
night 3.506782037911064 109
carne 6.549885277868953 150
dinner 3.1079687609132876 71
guac 6.01552328060319 85
bit 1.4500473647022432 76
corn 5.2480873402668715 105
minutes 1.4282965505062086 43
time 2.479800490988699 199
fish 5.946902087179784 97
experience 4.510968336375473 67
pork 5.148661929598979 106
lot 4.21543226881547 57
taco 5.256959443766122 128
cheese 3.5360993425634817 127
drinks 5.475858953739659 123
area 4.191236288992152 51
friends 4.474083788942683 57
meal 6.970043440701682 68
table 3.449546390772862 102
flavor 4.901317808271019 83
lunch 4.267094120885352 57
guacamole 6.197071171256047 193
everything 7.876037243085646 94
hour 7.783823963744403 137
thing 3.455689254935541 72
atmosphere 6.804450489251581 95
shrimp 6.056170297515523 81
breakfast 5.754376027867795 112
something 4.870707435189877 63
side 4.132752797999831 59
place 6.575251921036429 356
people 4.7977735410156415 80
server 5.278347106928248 77
tacos 4.9768178932736165 405
food 5.540959868935953 457
phoenix 6.169563175860944 115
clarendon hotel 2.985715545049103 57
hotel 3.8749541242315817 152
way 3.98074493416214 95
service 4.455982474538279 241
salsa 5.4338261838508135 107
day 6.462909082561836 79
menu 4.119393501869552 145
chips 3.6254815156634255 120
End -----------------------------------------------------------------------------
Restaurant_ID _FXql6eVhbM923RdCi94SA
meal 5.923849168323838 55
chicken 2.9607246527706845 82
lunch 5.697539832187912 44
menu 3.9527648463823315 155
bowl 4.1836886525767865 49
sandwich 4.735649478074023 77
dinner 3.7693997530504375 84
thing 4.546945636648055 54
atmosphere 6.518999559887017 88
tacos 4.215013243584217 94
hour 7.051813826703529 187
rolls 8.225963705970505 50
something 4.463244894328503 71
bar 5.005816089003737 113
cocktails 6.755584935160616 53
fun 5.881805478298412 77
rice 3.0804516759165863 61
bit 2.795053143801656 58
drink 4.604378869520151 123
table 3.0183227219382704 63
shrimp 5.411960301303031 79
area 3.6366171388272717 56
people 3.6737972695130114 57
experience 5.713967882164644 63
coconut 4.641817510172945 66
restaurant 4.763142217160387 86
night 3.906515640938457 128
salad 4.743971562522563 53
pork 5.640350952081658 110
service 6.603031795381691 194
phoenix 5.285708912876547 74
times 3.39221345987752 74
plate 3.797443190506776 42
fish 4.471912358392299 160
drinks 6.786670793214298 270
spicy 5.536499669654975 41
brunch 6.03271294316875 51
friends 4.1397122655198135 70
side 5.264506954093518 54
burger 3.4465147908874503 95
food 5.87694839994448 374
server 4.99217527157577 83
place 6.4848633484371465 353
things 4.852468925913333 57
sauce 6.15362344730393 91
staff 5.998408277111668 99
day 5.058058882593989 71
island 5.51084670018473 51
friend 4.359198683440283 56
stars 3.232318789215538 45
patio 5.363729261482343 178
time 3.2217600537952067 260
tiki 4.260051169137632 151
End -----------------------------------------------------------------------------
Restaurant_ID V1nEpIRmEa1768oj_tuxeQ
restaurant 4.3939901521556415 165
meal 7.130061347379452 83
friend 5.580520692047386 65
experience 5.125808475236111 99
friends 5.075078247284246 83
date 8.62344618393446 101
menu 3.9763624988874113 118
ambiance 7.338762287188482 84
place 6.768977471019598 450
phoenix 6.071187425546012 172
prosciutto 3.680699093544761 67
night 4.5444719523061 184
house 4.810805721756004 160
wait 4.286686069511508 170
crust 4.425395510125159 140
bread 4.1176669768742435 84
server 4.76451615179939 78
bar 4.033135590089008 65
service 5.4341428196148165 257
pizza 5.658169409851061 852
sandwich 5.405314205473647 70
bit 1.7110078244906333 75
lunch 5.540501141738781 128
wine 5.1540176171254 156
people 4.7697314219805556 76
patio 5.507959082814494 197
cheese 5.555994309819542 143
sauce 4.169519563858445 92
salad 5.509159290143665 137
downtown 5.679748547700241 103
bianco 5.825812068565383 120
dessert 7.192430268231892 82
pizzeria 3.9258855646360624 69
table 3.472782773484178 113
dinner 4.004040321221478 141
cibo 6.327823573590394 463
nutella 8.03897615300217 97
staff 6.013521450384765 76
time 3.082824104842383 217
mozzarella 4.237854902389956 83
crepes 6.616983104329488 77
food 5.744650450631976 360
way 3.351314981163896 89
atmosphere 7.184103320697862 167
pizzas 4.738917093646308 174
crepe 6.139718250819918 84
End -----------------------------------------------------------------------------
Restaurant_ID WNy1uzcmm_UHmTyR--o5IA
people 3.635054629529301 104
menu 3.6258999015828106 157
table 3.1670310151269025 60
everything 7.155458180537426 62
cheese 4.031704692711742 92
service 4.459027019347735 186
potatoes 3.077682215526485 95
order 3.2099544210285025 106
tempe 4.247438731433484 105
gravy 2.820393472986847 83
food 5.731541433230202 444
chicken 3.0534581620351764 200
pasties 4.589662662809241 274
pasty 4.685305356845649 74
atmosphere 4.895780737076215 104
bit 2.1871095221484604 103
sauce 4.701329818540259 88
meat 2.7024569136095855 74
bar 4.191573372390487 166
cornish pasty 1.3336992965643262 215
beers 5.767236993307462 71
way 4.283982256909925 71
restaurant 4.659197316815968 124
crust 3.5117615914235167 70
selection 7.624788258270556 112
dessert 4.5951572352837475 58
side 2.589783483143864 118
tables 0.9222738549498137 57
staff 4.815648494465226 95
lamb 3.904831468018593 63
time 3.0736440019321454 262
location 4.139540835124949 101
experience 4.468237094034405 83
night 2.7074460698430536 63
pie 4.410364670539584 129
beer 4.788471594238991 189
day 3.7082624957497448 65
place 5.497672231549389 535
thing 3.4105892675939287 71
something 4.817346977326578 84
lunch 4.6942846502762965 98
End -----------------------------------------------------------------------------
Restaurant_ID aRkYtXfmEKYG-eTDf_qUsw
hipster 3.4831060233984434 60
day 3.741169785087259 62
cup 4.691885455779681 62
everyone 5.716289405935785 48
music 3.1673078385947218 106
house 5.544366533393671 59
service 5.858144271229828 78
drink 4.704520573800316 87
order 2.570214358721668 74
staff 5.329108246656768 98
coffee 6.01905937878568 712
people 6.198830288479925 188
pastries 5.729104348621522 96
way 4.396537323985475 80
latte 5.696087876383693 80
work 3.6917437951209635 93
bar 4.695719379803165 73
phoenix 7.649577493168108 132
food 5.792075292708967 121
drinks 6.166129989533471 81
time 3.1104270305263055 167
place 6.031433986161266 442
espresso 6.000208526220089 55
lot 5.318716154826323 55
atmosphere 7.295270805381407 119
something 4.499540342790937 51
End -----------------------------------------------------------------------------
Restaurant_ID SDwYQ6eSu1htn8vHWv128g
glass 6.435295157585569 82
people 6.663040703851445 82
hour 7.419508803060841 113
bottle 6.799469231890177 112
food 6.991369370732765 349
location 5.086757602482473 79
list 6.279826646167905 83
bar 5.897832853294485 79
spot 7.023834260743477 72
atmosphere 8.033475380466202 148
fig 3.8004606311773728 87
menu 4.7514454205494845 97
night 4.611160918577645 151
restaurant 5.732627718346864 70
panini 6.146284727528868 82
selection 7.478022457058895 130
way 5.353768185798108 65
prosciutto 4.847196186484506 98
tomato 4.867257418002598 89
time 4.340325330006846 225
brie 5.562752125461352 97
service 6.215728083232128 211
cheese 5.206367794304706 147
place 6.987245497571411 464
lunch 4.9863227935312295 91
parking 1.9392068537969662 126
friends 4.886776539925728 102
day 4.765503033900238 73
date 7.0577621889129105 91
board 6.868218280449526 86
wine 4.5965457126993465 612
friend 5.873435159011697 67
postino 6.0602317998490305 329
table 4.573612205984609 83
bruschetta 5.740603239664273 478
staff 7.02670168222914 96
phoenix 6.968901766346755 77
salad 4.72865328138073 91
bread 4.7080376409886195 68
End -----------------------------------------------------------------------------
Restaurant_ID z3yFuLVrmH-3RJruPEMYKw
service 4.165744653673929 57
grocery 2.5090402249531785 84
salads 5.791057809418913 39
sandwich 5.188785083718782 180
parm 3.7222998812027477 36
deli 4.432543730401602 126
everything 7.1562560655461755 54
bit 1.9058143488609303 37
sausage 3.9331455125402774 36
chicken 3.1896602396432385 66
lunch 4.8317352666213615 74
time 2.2139327593372085 116
menu 4.5134523944452525 50
something 5.991540176171256 39
pizza 6.007197390230372 74
defalco 4.740247773645045 131
people 4.134179934854064 46
pasta 5.820037456215628 76
years 5.548515873915397 30
home 3.6570670106743504 49
meats 5.159890545813701 38
way 3.986820932611968 35
side 3.5877011079820793 41
meat 3.660893156234878 45
sub 4.625137627305258 32
wait 3.627171649211483 94
quality 4.642328844981004 39
cheese steak 4.556457900558546 37
wine 3.2124875640686605 30
sauce 5.416941021752311 48
order 3.1106075791175245 98
half 4.806129602344041 45
peppers 3.0047083380558393 40
cheese 5.840712188763073 102
meatball 4.954455420283372 33
thing 3.352413797889099 42
cheesesteak 7.33904565097088 43
restaurant 4.169641845177377 36
day 4.679282241829544 31
place 5.792003236006127 208
salad 3.3214497718743314 73
scottsdale 3.730104758666472 42
food 4.602007410989863 230
times 2.4002134572518803 28
bread 5.3105629242997505 66
minutes 1.9402697495183063 40
store 2.8914799154306197 41
sandwiches 3.623448615102661 121
selection 6.717848391100514 58
End -----------------------------------------------------------------------------
Restaurant_ID xY1sPHTA2RGVFlh5tZhs9g
friend 5.009199169706696 57
drinks 5.93040661804788 119
way 4.988794054573596 59
something 4.734501158363154 64
chips 4.165944814615587 54
pretzel fondue 8.989895508620918 35
wait 5.208915400885251 72
place 6.165380563820583 314
atmosphere 6.6465159102961815 90
provolone 7.361968912152834 55
pretzel 4.702518021612531 151
people 4.974742058852486 86
music 2.3806876187018995 78
bread 4.649099446113868 103
fries 4.695602820326156 53
restaurant 5.0351076239612444 146
dip 5.455511684442563 63
cheese 5.297604415737219 161
dessert 7.479151474455344 53
menu 4.682813940753416 195
drink 5.438665486763311 79
night 3.7093249500577476 118
lunch 5.6663410386633775 54
day 5.505214185867027 50
meal 6.513175115903781 76
sandwich 5.072678095804798 64
time 3.0501715998479724 176
nothing 4.421753528000797 56
salad 2.85756104370828 122
pretzels 7.074724269215938 111
order 4.064488175149667 101
food 5.032192582265483 382
rib 3.858640659107309 58
friends 3.3529758023370504 49
bit 0.38517210631031534 83
decor 4.769032857085852 83
burger 4.779458226014076 53
restaurants 5.062094730974867 51
staff 5.614163928989645 82
fondue 5.392224609395834 177
server 5.216290755223092 95
experience 5.583907441313988 70
scottsdale 3.3678665038110696 97
appetizer 6.580388543119353 46
beer 6.9878481976864615 67
dish 4.033621441154784 54
stars 3.187562256445415 41
bar 4.558142271605078 102
waitress 5.749660535187669 51
patio 4.47554101923364 57
fox 2.8682882993885555 82
everything 6.342237458745722 63
chicken 2.0075941579965124 156
table 3.9823881341093026 92
hour 6.128133831050649 97
dinner 3.8169033158893244 88
service 4.697821016653291 175
things 4.549991439202666 47
fun 5.871767097836317 69
End -----------------------------------------------------------------------------
Restaurant_ID EWMwV5V9BxNs_U6nNVMeqw
cheese 4.601482982402979 133
times 2.7029879721846144 123
fez burger 5.963943530202175 120
chicken 4.163076651093008 164
fez 6.023838228379271 861
service 5.594346301306695 372
kisra 6.417462988357241 92
sandwich 6.199378580541452 95
cinnamon 6.2145881852897595 114
everything 7.641011497726902 75
food 5.689649419757923 562
side 4.38087894117185 84
time 3.6783582100536916 335
experience 4.133451710806353 102
phoenix 6.376629926337064 106
order 4.397980767597517 110
bar 4.649460217613057 96
server 5.006153218237471 112
brunch 6.490644157884839 93
hummus 6.616128033441645 119
way 5.196319186558604 102
menu 4.6307997325808445 204
staff 5.801335709684757 121
lunch 4.339897437871432 106
restaurant 4.574822361437389 138
drink 5.728028403301084 155
sauce 5.449474587522868 76
table 4.690097413950207 94
dinner 4.274610638465639 123
meal 6.8981373589032104 89
day 3.744186052634315 82
something 4.939534703726938 94
thomas 5.667948455448617 79
salad 5.042592745208607 178
place 6.563289230987546 411
fries 6.18930980422321 454
friend 5.246162235171901 93
friends 3.4870415585719194 89
bread 4.720796512054549 89
burger 4.650099946183794 437
drinks 7.001344474237854 204
night 3.7815688451972553 183
people 5.95393083373362 120
burgers 6.422534148566409 115
atmosphere 6.770154018472328 155
hour 6.419751422846625 129
End -----------------------------------------------------------------------------
Restaurant_ID uKSX1n1RoAzGq4bV8GPHVg
sunday 5.127989948900483 47
dish 3.591134021191827 90
thing 5.197561592794275 87
sandwich 5.231781697907165 84
food 6.125357713371713 421
people 5.794991233171622 61
friend 5.461719369828857 64
way 4.34577922220553 86
restaurant 5.919035271986452 187
time 3.1160088245279907 257
menu 4.028836693649259 262
lunch 5.272367135678934 76
order 3.546800989355978 83
meal 6.188580838659847 119
dinner 4.003931205170085 147
place 6.366789993152125 332
side 3.872474723408059 79
pork 5.108383825433896 122
eggs 4.015931554183848 52
friends 4.618429420580052 64
hour 6.61589216757527 120
dessert 5.124140189152091 75
drinks 6.297085845602504 104
day 4.319160082144612 64
salmon 5.151896871520743 87
wine 3.7579479505937985 77
staff 6.078681537709077 74
st. francis 5.317872099098885 233
